query_key,query,geocoder,lat,lon,display_name_geocoder,geocode_status,geocode_source,match_level,relevance,isla_esperada,validated_in_island
c661900a6d89d3c7,"CAMINO LOS VALLES, 6, Valverde, EL HIERRO, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,EL HIERRO,
c95f3b56f92ebdc8,"Valverde, EL HIERRO, Santa Cruz de Tenerife, Canarias, Espana",nominatim,,,,not_found,nominatim,municipio_isla,,EL HIERRO,
6da29520d6f0ddd6,"EL HIERRO, Santa Cruz de Tenerife, Canarias, Espana",nominatim,27.7435084,-18.0381796,"El Hierro, Santa Cruz de Tenerife, Canarias, España",ok,nominatim,isla,0.523638970478237,EL HIERRO,TRUE
c72d34fed82b964a,"C/ TENESOR SEMIDAN, Nº 150 CRUCE DE ARINAGA, Agüimes, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
811c5293489b0c22,"Agüimes, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1073535,-15.5627454,"Agüimes, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
b87241c4ffc341fa,"C/ PASEO DE LA VIÑUELA, 4, Agüimes, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
b50c37cfd8b4135e,"C/ CAMINO DE LA CUEVITA, 13 ARTENARA ARUCAS CENTRO SOCIOSANITARIO DE ARUCAS 928 633 089 54 PLAZAS/CENRO DE DÍA C/DR.PEDRO HERNÁNDEZ PÉREZ,Nº2, Artenara, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
010a17982208c15f,"Artenara, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1073626,-15.5627337,"Artenara, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
4d9caf35d5a498e3,"PLAZOLETA HERNANDO DE PINEDA, Nº 9, Arucas, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
956bdd942eace169,"Arucas, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1073728,-15.5627209,"Arucas, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
1f6aa77360b12b30,"C/ ARGENTINA, S/N - BARRIAL, Gáldar, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
ca186432ce3caca4,"Gáldar, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1073914,-15.5626972,"Gáldar, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
bd23ebdafdddad98,"C/ PÁRROCO JOSÉ PÉREZ RAMÍREZ, 1, Ingenio, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
2157cab795188436,"Ingenio, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1074009,-15.5626851,"Ingenio, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
855c8767ce574aab,"C/ LOS CASCAJOS, 12, La Aldea de San Nicolás, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
ae391116939274f5,"La Aldea de San Nicolás, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1074284,-15.562653,"La Aldea de San Nicolás, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
980310e352069a6d,"C/ PEROJO, Nº 14, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1096913,-15.4193749,"Calle Perojo, Canalejas, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35002, España",ok,nominatim,direccion_completa,0.053370929274433473,GRAN CANARIA,TRUE
7d26b870f62fb51c,"C/ LOMO DEL SABINAL, S/N, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
a4320b7a6a24f48e,"Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1074382,-15.562644,"Las Palmas de Gran Canaria, Paseo de Gran Canaria, El Risco, La Palmilla, Firgas, Las Palmas, Canarias, 35430, España",ok,nominatim,municipio_isla,4.9795529106538754e-5,GRAN CANARIA,TRUE
73da56506901698c,"C/ SAN AGUSTÍN, Nº 3, 5 Y 7, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
b49eb8604f8f22f3,"C/ ANGEL GUIMERÁ, 93, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1159304,-15.4248047,"Calle Ángel Guimerá, Lugo, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35004, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
8dc92cbb2e5439d2,"C/ JUAN RAMÓN JIMÉNEZ, Nº 29, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1181762,-15.4334696,"Calle Juan Ramón Jiménez, Escaleritas, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35005, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
8fee002f750299fa,"C/ MOLINO, Nº 77, B, TENOYA, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,,,,not_found,nominatim,direccion_completa,,GRAN CANARIA,
d2370dba4795f183,"C/ NARDO, Nº 8, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1161687,-15.4506664,"Calle Nardo, Las Torres, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35019, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
bf97c7a471d0ab78,"CALLE MISTER BLISSE, S/N, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1007735,-15.4179272,"Calle Mister Blisse, Triana, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35001, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
7a04cb7e460f80da,"C/ LOPEZ BOTAS, 10, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.0991887,-15.4157824,"Calle López Botas, Vegueta, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35001, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
6b5f917596bc1b65,"CARRETERA DEL CENTRO- TAFIRA BAJA, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.067733,-15.4561854,"Carretera del Centro GC-110, El Piquillo, Tafira Baja, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35017, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
90b2a34ce3419253,"PASEO DE LA CORNISA S/N, Las Palmas de Gran Canaria, GRAN CANARIA, Las Palmas, Canarias, Espana",nominatim,28.1237562,-15.434231,"Paseo de la Cornisa, Ciudad Jardin, Las Palmas de Gran Canaria, Las Palmas, Canarias, 35005, España",ok,nominatim,direccion_completa,0.05339994888227661,GRAN CANARIA,TRUE
